Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-06_2023-04-10,TSLA,3.741,11.948,42.062,0.215,0.566,-18.492
Average,TSLA,3.741,11.948,42.062,0.215,0.566,-18.492
2022-10-06_2023-04-10,NFLX,-5.965,-17.223,19.807,-0.799,-0.680,-14.290
Average,NFLX,-5.965,-17.223,19.807,-0.799,-0.680,-14.290
2022-10-06_2023-04-10,AMZN,-15.807,-41.067,28.720,-1.293,-2.020,-26.129
Average,AMZN,-15.807,-41.067,28.720,-1.293,-2.020,-26.129
2022-10-06_2023-04-10,MSFT,16.585,60.254,21.515,1.334,3.698,-8.888
Average,MSFT,16.585,60.254,21.515,1.334,3.698,-8.888
2022-10-06_2023-04-10,COIN,12.655,44.225,94.180,0.517,1.323,-33.259
Average,COIN,12.655,44.225,94.180,0.517,1.323,-33.259
Average,All,2.242,11.627,41.257,-0.005,0.577,-20.212
