Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,max_drawdown
2004-01-01_2006-01-01,MODV,0.0043,0.0062,3.9123,0.0059
2005-01-01_2007-01-01,MODV,0.002,0.0075,0.4442,0.0112
2006-01-01_2008-01-01,MODV,-0.0005,0.0081,-0.1776,0.0126
2007-01-01_2009-01-01,MODV,-0.008,0.0098,-0.7605,0.0325
2008-01-01_2010-01-01,MODV,-0.0042,0.0088,-0.2985,0.0301
2009-01-01_2011-01-01,MODV,0.0051,0.006,1.0383,0.006
2010-01-01_2012-01-01,MODV,-0.0007,0.0058,-0.7434,0.0094
2011-01-01_2013-01-01,MODV,0.0002,0.005,0.1157,0.0091
2012-01-01_2014-01-01,MODV,0.004,0.0063,1.9345,0.0061
2013-01-01_2015-01-01,MODV,0.0066,0.0124,8.6175,0.0141
2014-01-01_2016-01-01,MODV,0.0077,0.0154,18.5933,0.0141
2015-01-01_2017-01-01,MODV,0.0005,0.0141,0.0693,0.0189
2016-01-01_2018-01-01,MODV,0.0045,0.0116,0.4385,0.0175
2017-01-01_2019-01-01,MODV,0.0075,0.0144,1.067,0.024
2018-01-01_2020-01-01,MODV,-0.0004,0.0167,-1.8965,0.0299
2019-01-01_2021-01-01,MODV,0.0271,0.0258,0.9712,0.0277
2020-01-01_2022-01-01,MODV,0.0309,0.045,1.2748,0.0747
2021-01-01_2023-01-01,MODV,-0.018,0.0483,-0.7886,0.1335
2022-01-01_2024-01-01,MODV,-0.0356,0.0364,-9.4641,0.1199
Average,MODV,0.0017449626645475067,0.015979256488912075,1.2814467927803856,0.031442775519483865
2004-01-01_2006-01-01,TAIT,-0.0001,0.0007,-0.3069,0.001
2005-01-01_2007-01-01,TAIT,-0.0,0.0006,-0.129,0.0005
2006-01-01_2008-01-01,TAIT,-0.0,0.0007,-0.0026,0.001
2007-01-01_2009-01-01,TAIT,-0.0003,0.0006,-2.2184,0.0014
2008-01-01_2010-01-01,TAIT,-0.0001,0.0005,-0.1802,0.0007
2009-01-01_2011-01-01,TAIT,0.0002,0.0005,1.6196,0.0004
2010-01-01_2012-01-01,TAIT,-0.0001,0.0004,-0.375,0.0005
2011-01-01_2013-01-01,TAIT,-0.0001,0.0003,-2.2,0.0005
2012-01-01_2014-01-01,TAIT,0.0,0.0002,0.0,0.0001
2013-01-01_2015-01-01,TAIT,0.0,0.0003,0.0769,0.0002
2014-01-01_2016-01-01,TAIT,-0.0,0.0003,-1.1818,0.0002
2015-01-01_2017-01-01,TAIT,0.0001,0.0002,0.7693,0.0002
2016-01-01_2018-01-01,TAIT,0.0002,0.0003,3.011,0.0002
2017-01-01_2019-01-01,TAIT,0.0002,0.0005,1.8497,0.0006
2018-01-01_2020-01-01,TAIT,0.0004,0.0018,1.2723,0.0038
2019-01-01_2021-01-01,TAIT,0.0005,0.0018,2.9775,0.0041
2020-01-01_2022-01-01,TAIT,0.0004,0.0014,3.1318,0.0021
