Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MOG-A,-4.8728,18.0553,-0.3498,-0.3085,-26.6284
2005-01-01_2007-01-01,MOG-A,-7.8631,16.4718,-0.5911,-0.5213,-24.7613
2006-01-01_2008-01-01,MOG-A,-16.5485,15.3805,-1.2786,-1.0737,-46.0961
2007-01-01_2009-01-01,MOG-A,-8.8203,27.8469,-0.2975,-0.2604,-34.2608
2008-01-01_2010-01-01,MOG-A,14.8029,30.8863,0.4958,0.4544,-25.2916
2009-01-01_2011-01-01,MOG-A,8.7761,22.4943,0.3465,0.2836,-25.2911
2010-01-01_2012-01-01,MOG-A,-6.8657,22.6481,-0.3305,-0.2885,-32.1452
2011-01-01_2013-01-01,MOG-A,-5.5494,22.9656,-0.2632,-0.2383,-33.4619
2012-01-01_2014-01-01,MOG-A,-2.7282,18.3718,-0.222,-0.1868,-20.5281
2013-01-01_2015-01-01,MOG-A,-2.3916,13.0227,-0.3501,-0.3757,-17.0877
2014-01-01_2016-01-01,MOG-A,11.5717,13.9296,0.6279,0.792,-13.6832
2015-01-01_2017-01-01,MOG-A,9.4127,17.1173,0.4277,0.3893,-25.9216
2016-01-01_2018-01-01,MOG-A,-9.51,20.608,-0.5209,-0.3723,-36.6154
2017-01-01_2019-01-01,MOG-A,-2.6119,17.9301,-0.2255,-0.233,-20.2747
2018-01-01_2020-01-01,MOG-A,4.8911,18.3895,0.1825,0.1943,-20.2731
2019-01-01_2021-01-01,MOG-A,0.9721,24.657,0.0386,0.0341,-44.5208
2020-01-01_2022-01-01,MOG-A,-4.8668,26.0656,-0.1751,-0.157,-54.1125
2021-01-01_2023-01-01,MOG-A,0.9756,17.8342,-0.0272,-0.0237,-18.2948
2022-01-01_2024-01-01,MOG-A,-5.5261,16.6842,-0.4345,-0.3705,-26.5079
Average,MOG-A,-1.408,20.0715,-0.1551,-0.1191,-28.724
2004-01-01_2006-01-01,TAIT,-13.3523,39.2099,-0.2445,-0.2078,-44.9084
2005-01-01_2007-01-01,TAIT,-13.7217,43.4336,-0.1913,-0.1575,-42.3651
2006-01-01_2008-01-01,TAIT,-10.7745,45.8836,-0.0764,-0.0553,-47.1214
2007-01-01_2009-01-01,TAIT,2.638,58.0153,0.2694,0.2196,-39.6582
2008-01-01_2010-01-01,TAIT,-27.1113,58.0217,-0.3153,-0.2377,-71.3191
2009-01-01_2011-01-01,TAIT,-37.3105,44.8181,-0.8701,-0.5993,-79.7032
2010-01-01_2012-01-01,TAIT,-18.6986,41.7426,-0.3551,-0.2696,-60.3545
2011-01-01_2013-01-01,TAIT,-22.4548,32.2214,-0.7105,-0.4875,-52.834
