Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MOG-A,-3.9752,11.0408,-0.5839,-0.2926,-14.211
2005-01-01_2007-01-01,MOG-A,-1.7581,6.8272,-0.719,-0.3486,-7.6722
2006-01-01_2008-01-01,MOG-A,-4.8567,10.4466,-0.6937,-0.4863,-13.6806
2007-01-01_2009-01-01,MOG-A,-8.1798,7.1963,-1.4378,-0.7247,-16.2839
2008-01-01_2010-01-01,MOG-A,-4.7978,3.8958,-1.9428,-0.3192,-9.0315
2009-01-01_2011-01-01,MOG-A,-5.4386,10.9288,-0.7045,-0.4037,-17.4416
2010-01-01_2012-01-01,MOG-A,1.6134,7.5915,-0.2812,-0.0821,-9.0678
2011-01-01_2013-01-01,MOG-A,0.0,0.0,0.0,0.0,-0.0
2012-01-01_2014-01-01,MOG-A,15.2792,11.6027,0.7231,1.2178,-6.7132
2013-01-01_2015-01-01,MOG-A,-0.497,8.8559,-0.4229,-0.3264,-13.6662
2014-01-01_2016-01-01,MOG-A,-3.1225,4.0038,-1.5384,-0.631,-6.7133
2015-01-01_2017-01-01,MOG-A,2.2364,6.1845,-0.2776,-0.0705,-6.1991
2016-01-01_2018-01-01,MOG-A,6.4073,11.2002,0.1662,0.3298,-10.067
2017-01-01_2019-01-01,MOG-A,-0.9353,11.71,-0.3296,-0.1112,-16.5413
2018-01-01_2020-01-01,MOG-A,1.5163,9.42,-0.2209,-0.0347,-10.2085
2019-01-01_2021-01-01,MOG-A,-1.9437,7.3213,-0.6872,-0.2083,-7.5116
2020-01-01_2022-01-01,MOG-A,-5.9651,9.8681,-0.8353,-0.4367,-18.448
2021-01-01_2023-01-01,MOG-A,0.6113,5.6483,-0.5383,-0.2005,-7.9277
2022-01-01_2024-01-01,MOG-A,13.7101,12.2107,0.5999,0.914,-5.6593
Average,MOG-A,-0.005,8.208,-0.5118,-0.1166,-10.3707
