Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,max_drawdown
2004-01-01_2006-01-01,MODV,19.9009,16.3667,16.5522,11.5078
2005-01-01_2007-01-01,MODV,14.7202,14.7109,1.2685,15.3152
2006-01-01_2008-01-01,MODV,-4.6022,14.6062,-0.6921,27.5886
2007-01-01_2009-01-01,MODV,-1.1085,62.9796,-0.0719,68.2329
2008-01-01_2010-01-01,MODV,13.2513,72.9642,10.6056,61.3381
2009-01-01_2011-01-01,MODV,4.3779,32.9145,0.3498,47.6315
2010-01-01_2012-01-01,MODV,21.0862,23.2819,4.5797,19.5355
2011-01-01_2013-01-01,MODV,6.9806,17.9128,0.9926,18.6118
2012-01-01_2014-01-01,MODV,5.1157,11.8783,0.758,18.6043
2013-01-01_2015-01-01,MODV,19.37,24.6651,2.5683,10.0161
2014-01-01_2016-01-01,MODV,8.5654,25.4353,0.5505,20.27
2015-01-01_2017-01-01,MODV,-4.5041,13.4966,-0.7354,21.5458
2016-01-01_2018-01-01,MODV,4.19,10.6529,1.0051,11.7423
2017-01-01_2019-01-01,MODV,4.7375,8.3524,8.3989,11.4591
2018-01-01_2020-01-01,MODV,-0.1525,9.3974,-0.0289,12.9362
2019-01-01_2021-01-01,MODV,5.2713,11.886,0.7507,13.6302
2020-01-01_2022-01-01,MODV,12.6328,14.9488,13.2703,13.8414
2021-01-01_2023-01-01,MODV,-2.0784,17.9927,-0.1579,27.7171
2022-01-01_2024-01-01,MODV,-18.6936,25.1578,-1.3753,55.0949
Average,MODV,5.74,22.6105,3.0836,25.6115
2004-01-01_2006-01-01,TAIT,15.394,27.7161,0.9879,19.303
2005-01-01_2007-01-01,TAIT,-11.1027,25.2356,-1.3955,36.5416
2006-01-01_2008-01-01,TAIT,-4.8073,35.3605,-0.262,43.235
2007-01-01_2009-01-01,TAIT,-16.3656,53.5913,-0.5467,59.527
2008-01-01_2010-01-01,TAIT,-2.6358,53.344,0.1117,50.8542
2009-01-01_2011-01-01,TAIT,4.6999,39.0751,0.3557,28.4751
2010-01-01_2012-01-01,TAIT,-8.5542,30.3301,-2.126,39.6325
2011-01-01_2013-01-01,TAIT,-0.6607,21.2927,-0.096,36.4914
2012-01-01_2014-01-01,TAIT,-5.2559,17.551,-0.9997,19.4844
2013-01-01_2015-01-01,TAIT,-1.5653,32.668,-0.171,24.3373
2014-01-01_2016-01-01,TAIT,4.7498,32.2347,1.5631,24.3373
2015-01-01_2017-01-01,TAIT,9.2485,14.7913,2.0847,13.5277
2016-01-01_2018-01-01,TAIT,4.8882,14.2396,0.548,11.3534
2017-01-01_2019-01-01,TAIT,1.1691,15.2132,0.3035,23.089
2018-01-01_2020-01-01,TAIT,19.1403,31.968,1.4435,39.077
2019-01-01_2021-01-01,TAIT,16.8005,30.9805,1.9036,39.077
2020-01-01_2022-01-01,TAIT,7.377,18.5197,6.6728,10.05
2021-01-01_2023-01-01,TAIT,14.9645,19.0201,3.1583,9.8837
2022-01-01_2024-01-01,TAIT,15.2133,12.1855,2.9826,8.5017
Average,TAIT,3.602,28.8383,1.0317,29.5995
2004-01-01_2006-01-01,WF,8.6331,14.2998,2.4534,15.4335
2005-01-01_2007-01-01,WF,6.7972,13.8742,4.4413,18.9676
2006-01-01_2008-01-01,WF,-2.9445,15.923,-0.4142,20.7643
2007-01-01_2009-01-01,WF,-3.9036,37.9715,-3.7737,44.2257
2008-01-01_2010-01-01,WF,25.4582,44.6243,0.9117,35.4226
2009-01-01_2011-01-01,WF,32.0038,27.5057,2.8215,21.1161
2010-01-01_2012-01-01,WF,9.9498,17.4604,2.2578,21.1302
2011-01-01_2013-01-01,WF,12.6437,16.9277,2.1013,20.055
2012-01-01_2014-01-01,WF,7.9619,13.8997,0.8223,15.1921
2013-01-01_2015-01-01,WF,-6.4189,11.7513,-2.7895,18.794
2014-01-01_2016-01-01,WF,-1.7658,12.2928,-0.3464,19.1901
2015-01-01_2017-01-01,WF,1.3705,11.1923,0.3114,19.0363
2016-01-01_2018-01-01,WF,-4.4461,11.0886,-1.1153,19.9374
2017-01-01_2019-01-01,WF,-9.2872,11.5883,-3.8955,30.269
2018-01-01_2020-01-01,WF,-11.1845,15.0435,-12.903,29.7604
2019-01-01_2021-01-01,WF,0.611,17.9475,0.1332,31.1798
2020-01-01_2022-01-01,WF,5.5337,15.0204,0.7349,12.2483
2021-01-01_2023-01-01,WF,-8.8619,14.0521,-0.961,29.1227
2022-01-01_2024-01-01,WF,-11.8101,13.7369,-1.982,38.9942
Average,WF,2.8391,19.2125,-0.5347,25.8126
2004-01-01_2006-01-01,JOE,-0.2373,9.2384,-0.0127,9.9431
2005-01-01_2007-01-01,JOE,-1.0786,13.2029,-35.6403,25.7196
