Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MOG-A,-4.9741,17.9681,-0.3583,-0.3198,-31.5597
2005-01-01_2007-01-01,MOG-A,-15.5621,16.0607,-1.1457,-1.0267,-39.4488
2006-01-01_2008-01-01,MOG-A,-18.5953,15.5621,-1.419,-1.1818,-46.6595
2007-01-01_2009-01-01,MOG-A,-11.1084,29.2174,-0.3563,-0.3109,-39.8546
2008-01-01_2010-01-01,MOG-A,14.7947,31.7018,0.4905,0.444,-21.7215
2009-01-01_2011-01-01,MOG-A,5.0463,23.4144,0.195,0.1634,-27.1449
2010-01-01_2012-01-01,MOG-A,1.5053,23.4569,0.0505,0.0464,-23.0456
2011-01-01_2013-01-01,MOG-A,7.612,21.8015,0.2997,0.3405,-29.6479
2012-01-01_2014-01-01,MOG-A,1.3987,16.6348,-0.0183,-0.0177,-21.5449
2013-01-01_2015-01-01,MOG-A,-3.7148,13.6483,-0.4268,-0.4362,-19.417
2014-01-01_2016-01-01,MOG-A,12.9089,13.9021,0.7134,0.9024,-11.921
2015-01-01_2017-01-01,MOG-A,9.9571,17.2927,0.4534,0.4075,-25.0038
2016-01-01_2018-01-01,MOG-A,-6.6941,16.3835,-0.5188,-0.413,-39.6514
2017-01-01_2019-01-01,MOG-A,-1.9782,17.431,-0.2002,-0.206,-22.9074
2018-01-01_2020-01-01,MOG-A,13.2706,19.0316,0.5807,0.6292,-19.4351
2019-01-01_2021-01-01,MOG-A,7.1684,26.2575,0.2761,0.2255,-42.264
2020-01-01_2022-01-01,MOG-A,-1.5344,27.0815,-0.0324,-0.0269,-47.3301
2021-01-01_2023-01-01,MOG-A,-0.1297,18.3079,-0.0809,-0.0753,-17.6128
2022-01-01_2024-01-01,MOG-A,-1.2711,16.029,-0.1879,-0.1646,-19.8751
Average,MOG-A,0.4263,20.0623,-0.0887,-0.0537,-28.7392
2004-01-01_2006-01-01,TAIT,-13.5856,46.91,-0.1431,-0.1357,-48.5766
2005-01-01_2007-01-01,TAIT,-27.1147,43.4981,-0.5705,-0.4583,-67.8042
2006-01-01_2008-01-01,TAIT,-20.2437,46.6475,-0.3042,-0.233,-57.0533
2007-01-01_2009-01-01,TAIT,-27.9942,65.2619,-0.2302,-0.1946,-73.3187
2008-01-01_2010-01-01,TAIT,-48.3296,60.8253,-0.8258,-0.6161,-84.4084
2009-01-01_2011-01-01,TAIT,-29.9021,46.8723,-0.5802,-0.4305,-71.1618
2010-01-01_2012-01-01,TAIT,-15.9868,44.0847,-0.2394,-0.1829,-56.6582
2011-01-01_2013-01-01,TAIT,-29.8134,35.8806,-0.8758,-0.5865,-63.0132
2012-01-01_2014-01-01,TAIT,-36.8309,27.2152,-1.6371,-1.1394,-74.0637
2013-01-01_2015-01-01,TAIT,-36.8243,38.8116,-1.0258,-0.627,-77.8563
2014-01-01_2016-01-01,TAIT,-40.6854,38.1028,-1.2145,-0.762,-77.6202
