Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MED,-27.8982,58.739,-0.3087,-0.3501,-79.907
2005-01-01_2007-01-01,MED,56.0277,65.2308,0.9724,1.0447,-60.6015
2006-01-01_2008-01-01,MED,-3.695,59.3587,0.1881,0.2252,-81.866
2007-01-01_2009-01-01,MED,-23.9929,57.9043,-0.2388,-0.3302,-71.5523
2008-01-01_2010-01-01,MED,88.9447,68.7095,1.2268,1.539,-60.0899
2009-01-01_2011-01-01,MED,73.6557,59.7934,1.1748,1.3874,-52.4396
2010-01-01_2012-01-01,MED,-24.6962,47.1675,-0.4234,-0.4668,-63.6011
2011-01-01_2013-01-01,MED,-3.1331,42.7455,0.0705,0.0753,-55.2668
2012-01-01_2014-01-01,MED,21.5329,31.369,0.6798,0.8475,-31.0469
2013-01-01_2015-01-01,MED,8.8869,27.4009,0.3403,0.3807,-23.2123
2014-01-01_2016-01-01,MED,5.7264,26.2271,0.231,0.2574,-23.7496
2015-01-01_2017-01-01,MED,10.9354,20.9996,0.4589,0.4954,-20.0029
2016-01-01_2018-01-01,MED,38.7152,22.2277,1.448,2.3428,-13.6591
2017-01-01_2019-01-01,MED,47.4971,42.2631,1.0571,1.2275,-54.7112
2018-01-01_2020-01-01,MED,17.2302,48.3543,0.5134,0.5069,-70.1382
2019-01-01_2021-01-01,MED,19.3067,44.8179,0.5581,0.558,-65.7187
2020-01-01_2022-01-01,MED,27.2067,42.3864,0.7088,0.8744,-54.9806
2021-01-01_2023-01-01,MED,-13.8931,37.94,-0.2823,-0.359,-66.9471
2022-01-01_2024-01-01,MED,-30.629,36.2508,-0.9071,-1.0993,-68.4295
Average,MED,15.1436,44.2045,0.393,0.4819,-53.5748
2004-01-01_2006-01-01,TAIT,-5.5227,63.0797,0.1616,0.1937,-56.5711
2005-01-01_2007-01-01,TAIT,-3.2094,54.5877,0.1583,0.1648,-40.6077
2006-01-01_2008-01-01,TAIT,3.0878,53.725,0.2648,0.3046,-53.3596
2007-01-01_2009-01-01,TAIT,-28.0834,74.4545,-0.1108,-0.1072,-81.7996
2008-01-01_2010-01-01,TAIT,-6.1254,81.9195,0.2897,0.2654,-69.1001
2009-01-01_2011-01-01,TAIT,26.868,69.2957,0.6352,0.6556,-40.4761
2010-01-01_2012-01-01,TAIT,-6.3717,54.815,0.0979,0.1077,-49.7107
2011-01-01_2013-01-01,TAIT,-11.4907,43.1178,-0.1382,-0.1413,-47.8788
2012-01-01_2014-01-01,TAIT,-0.2678,33.9174,0.0736,0.0699,-19.6428
2013-01-01_2015-01-01,TAIT,0.0642,44.7323,0.1487,0.1703,-27.2726
2014-01-01_2016-01-01,TAIT,-4.3809,43.3338,0.035,0.0412,-29.8506
2015-01-01_2017-01-01,TAIT,7.8643,33.17,0.3028,0.3909,-26.5486
2016-01-01_2018-01-01,TAIT,27.298,37.3012,0.749,1.0972,-21.5686
2017-01-01_2019-01-01,TAIT,19.259,39.7958,0.5626,0.7809,-35.4392
2018-01-01_2020-01-01,TAIT,24.4058,59.1342,0.6177,0.6608,-66.7021
2019-01-01_2021-01-01,TAIT,28.4235,57.9778,0.6733,0.7006,-72.038
2020-01-01_2022-01-01,TAIT,15.2218,44.1543,0.4697,0.6646,-40.1544
2021-01-01_2023-01-01,TAIT,8.1762,39.3814,0.3169,0.4601,-45.3081
2022-01-01_2024-01-01,TAIT,-0.329,24.4819,-0.0124,-0.018,-20.6928
Average,TAIT,4.9941,50.125,0.2787,0.3401,-44.459
2004-01-01_2006-01-01,WF,51.0047,31.7357,1.3636,1.7001,-33.5849
2005-01-01_2007-01-01,WF,43.9713,28.962,1.3005,1.7236,-30.7805
2006-01-01_2008-01-01,WF,-0.9143,30.5724,0.0254,0.0316,-37.894
2007-01-01_2009-01-01,WF,-39.3207,63.1962,-0.5217,-0.604,-87.4023
2008-01-01_2010-01-01,WF,-15.5782,78.3516,0.1315,0.1663,-84.3715
2009-01-01_2011-01-01,WF,45.502,57.8733,0.8775,1.222,-44.6075
2010-01-01_2012-01-01,WF,-14.6541,36.4647,-0.3331,-0.4216,-54.2078
2011-01-01_2013-01-01,WF,-8.1018,34.2975,-0.1606,-0.1995,-47.9315
2012-01-01_2014-01-01,WF,16.1723,27.4305,0.5754,0.7801,-30.2989
2013-01-01_2015-01-01,WF,-13.0733,25.5931,-0.5336,-0.5953,-40.4838
2014-01-01_2016-01-01,WF,-20.1175,27.0583,-0.804,-0.9107,-49.0425
2015-01-01_2017-01-01,WF,7.1119,26.7169,0.2784,0.3475,-34.6447
2016-01-01_2018-01-01,WF,28.337,23.4847,1.0547,1.1535,-22.8439
2017-01-01_2019-01-01,WF,9.8504,23.2529,0.3936,0.4595,-28.0032
2018-01-01_2020-01-01,WF,-12.6653,26.9575,-0.4766,-0.5431,-43.2052
2019-01-01_2021-01-01,WF,-13.1849,35.0686,-0.3113,-0.3487,-62.1325
2020-01-01_2022-01-01,WF,3.0406,33.0295,0.1665,0.193,-45.8617
2021-01-01_2023-01-01,WF,0.0059,27.6317,0.0309,0.0395,-43.4277
2022-01-01_2024-01-01,WF,-2.6779,25.6417,-0.0933,-0.1258,-43.3765
Average,WF,3.4057,34.9115,0.156,0.2141,-45.479
2004-01-01_2006-01-01,JPM,5.1627,12.8043,0.2259,0.2954,-17.9222
2005-01-01_2007-01-01,JPM,10.339,12.8457,0.5995,0.8858,-14.3552
2006-01-01_2008-01-01,JPM,5.1838,18.6244,0.2052,0.2524,-22.703
2007-01-01_2009-01-01,JPM,-11.7964,52.0234,-0.0401,-0.0487,-55.0081
2008-01-01_2010-01-01,JPM,1.7099,67.7394,0.3138,0.4146,-67.089
