Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MED,-9.1687,22.969,-0.4302,-0.2538,-51.2257
2005-01-01_2007-01-01,MED,26.6076,24.9458,0.9517,0.6504,-28.38
2006-01-01_2008-01-01,MED,27.7318,28.386,0.8989,0.6872,-28.3802
2007-01-01_2009-01-01,MED,17.5277,33.728,0.5561,0.4509,-35.1434
2008-01-01_2010-01-01,MED,39.1106,39.9576,0.9457,0.7904,-35.1439
2009-01-01_2011-01-01,MED,33.2997,32.3854,0.953,0.8187,-22.178
2010-01-01_2012-01-01,MED,-15.1832,23.5921,-0.7045,-0.4892,-54.095
2011-01-01_2013-01-01,MED,-9.2394,21.3163,-0.4874,-0.3343,-53.5042
2012-01-01_2014-01-01,MED,4.7169,17.0432,0.1806,0.1356,-21.3952
2013-01-01_2015-01-01,MED,-6.5725,14.4335,-0.6028,-0.3439,-25.4692
2014-01-01_2016-01-01,MED,-1.7373,13.0573,-0.2954,-0.189,-15.6456
2015-01-01_2017-01-01,MED,-2.2886,13.0149,-0.3402,-0.2194,-17.1394
2016-01-01_2018-01-01,MED,-0.82,10.3424,-0.3139,-0.1902,-16.6111
2017-01-01_2019-01-01,MED,12.9665,18.7092,0.5809,0.6322,-20.297
2018-01-01_2020-01-01,MED,7.2901,21.0149,0.2938,0.2614,-30.1671
2019-01-01_2021-01-01,MED,3.224,19.8035,0.1096,0.0734,-41.713
2020-01-01_2022-01-01,MED,15.472,21.0362,0.6471,0.4994,-27.4737
2021-01-01_2023-01-01,MED,-0.019,20.916,-0.038,-0.0274,-34.4091
2022-01-01_2024-01-01,MED,-8.7635,19.1126,-0.5382,-0.3421,-44.4239
Average,MED,7.0608,21.8823,0.1246,0.1374,-31.726
2004-01-01_2006-01-01,TAIT,3.6087,27.7623,0.1572,0.1214,-21.7497
2005-01-01_2007-01-01,TAIT,-18.3495,25.5517,-0.78,-0.4805,-47.6591
2006-01-01_2008-01-01,TAIT,-9.3425,34.0165,-0.211,-0.1495,-50.0993
2007-01-01_2009-01-01,TAIT,-23.6859,50.8731,-0.3372,-0.2334,-65.8271
2008-01-01_2010-01-01,TAIT,-16.0206,50.0246,-0.1595,-0.1139,-62.3068
2009-01-01_2011-01-01,TAIT,-7.2105,36.3453,-0.1081,-0.0768,-36.3526
2010-01-01_2012-01-01,TAIT,-16.8294,28.0492,-0.6214,-0.4014,-48.659
2011-01-01_2013-01-01,TAIT,-12.4519,20.427,-0.6944,-0.4876,-49.8776
2012-01-01_2014-01-01,TAIT,-16.3928,17.5993,-1.0976,-0.7463,-40.469
2013-01-01_2015-01-01,TAIT,-13.5282,31.4001,-0.411,-0.3243,-37.7364
2014-01-01_2016-01-01,TAIT,-10.943,31.5426,-0.3141,-0.2524,-36.1015
2015-01-01_2017-01-01,TAIT,-7.9531,16.6219,-0.5936,-0.4314,-28.9918
2016-01-01_2018-01-01,TAIT,-9.6309,15.1745,-0.7866,-0.5778,-27.0174
2017-01-01_2019-01-01,TAIT,-9.0015,19.1162,-0.5543,-0.4272,-36.1026
2018-01-01_2020-01-01,TAIT,15.3097,33.6681,0.5006,0.377,-38.917
2019-01-01_2021-01-01,TAIT,14.9947,30.8331,0.5094,0.3564,-38.9176
2020-01-01_2022-01-01,TAIT,5.0738,19.4773,0.1982,0.1565,-12.956
2021-01-01_2023-01-01,TAIT,12.816,20.1898,0.5496,0.4993,-11.479
2022-01-01_2024-01-01,TAIT,11.4548,12.3813,0.6975,0.6622,-10.8959
Average,TAIT,-5.6885,27.4239,-0.2135,-0.1331,-36.9534
2004-01-01_2006-01-01,WF,8.0689,14.7523,0.3983,0.3102,-14.9402
2005-01-01_2007-01-01,WF,6.9711,15.2577,0.3237,0.2212,-15.5636
2006-01-01_2008-01-01,WF,-0.5117,16.8352,-0.1216,-0.0754,-16.7251
2007-01-01_2009-01-01,WF,0.887,36.899,0.129,0.0785,-30.6465
2008-01-01_2010-01-01,WF,20.5819,43.7532,0.5766,0.4115,-28.612
2009-01-01_2011-01-01,WF,20.1381,27.9355,0.6879,0.5496,-24.3162
2010-01-01_2012-01-01,WF,9.4653,17.5222,0.4351,0.2844,-24.3175
2011-01-01_2013-01-01,WF,14.0052,16.6245,0.6933,0.5169,-18.2211
2012-01-01_2014-01-01,WF,4.1895,13.7483,0.1512,0.1261,-20.9212
2013-01-01_2015-01-01,WF,-6.9964,12.1661,-0.7782,-0.4764,-20.9251
2014-01-01_2016-01-01,WF,-4.0382,12.4315,-0.5073,-0.3191,-19.6283
2015-01-01_2017-01-01,WF,-1.8241,11.6476,-0.3543,-0.2742,-18.7587
2016-01-01_2018-01-01,WF,-4.9776,11.5241,-0.6415,-0.3975,-23.1695
2017-01-01_2019-01-01,WF,-11.0762,11.4956,-1.2198,-0.6891,-33.7691
2018-01-01_2020-01-01,WF,-9.5125,14.9311,-0.7934,-0.5692,-25.8224
2019-01-01_2021-01-01,WF,0.7252,18.007,-0.0348,-0.027,-27.9478
2020-01-01_2022-01-01,WF,4.8373,15.1691,0.192,0.128,-13.7901
2021-01-01_2023-01-01,WF,-8.1797,14.0052,-0.7505,-0.5452,-30.1177
2022-01-01_2024-01-01,WF,-12.061,13.704,-1.0851,-0.8089,-39.6139
Average,WF,1.6154,17.811,-0.1421,-0.0819,-23.5687
2004-01-01_2006-01-01,JPM,5.1002,5.6839,0.3828,0.2794,-3.1328
2005-01-01_2007-01-01,JPM,8.1502,6.7468,0.7562,0.6498,-3.5468
2006-01-01_2008-01-01,JPM,5.4922,9.3296,0.3024,0.2073,-10.2792
2007-01-01_2009-01-01,JPM,11.4037,26.4846,0.4284,0.2823,-21.9815
2008-01-01_2010-01-01,JPM,8.0457,30.7119,0.3094,0.2092,-33.0693
2009-01-01_2011-01-01,JPM,-0.2729,18.8569,-0.077,-0.0528,-29.3837
2010-01-01_2012-01-01,JPM,1.595,14.7959,-0.0196,-0.0167,-24.338
2011-01-01_2013-01-01,JPM,1.1768,14.4173,-0.0525,-0.0399,-24.3381
2012-01-01_2014-01-01,JPM,2.3811,8.8597,-0.0243,-0.0214,-16.5081
2013-01-01_2015-01-01,JPM,0.4415,7.066,-0.3213,-0.2351,-8.5832
2014-01-01_2016-01-01,JPM,0.89,7.8955,-0.2231,-0.1436,-9.3211
2015-01-01_2017-01-01,JPM,3.045,9.2279,0.0503,0.0324,-11.1005
2016-01-01_2018-01-01,JPM,6.9052,8.7413,0.4686,0.4011,-8.3095
2017-01-01_2019-01-01,JPM,1.2018,8.9358,-0.1528,-0.1005,-12.0071
2018-01-01_2020-01-01,JPM,0.8762,8.886,-0.1903,-0.1188,-12.0053
2019-01-01_2021-01-01,JPM,4.9988,12.2836,0.2177,0.1331,-18.6146
2020-01-01_2022-01-01,JPM,7.4315,12.3664,0.4023,0.251,-18.6115
2021-01-01_2023-01-01,JPM,2.2252,10.2605,-0.0227,-0.0189,-21.8902
2022-01-01_2024-01-01,JPM,-1.4768,9.8971,-0.3999,-0.2841,-21.8888
Average,JPM,3.6637,12.1814,0.0965,0.0744,-16.2584
2004-01-01_2006-01-01,CDP,8.1966,9.5954,0.5605,0.3993,-10.8355
2005-01-01_2007-01-01,CDP,13.4633,8.9051,1.1307,0.8475,-8.4286
2006-01-01_2008-01-01,CDP,6.6478,11.5571,0.3585,0.2527,-12.8326
2007-01-01_2009-01-01,CDP,9.2943,25.4827,0.366,0.2023,-26.7397
2008-01-01_2010-01-01,CDP,0.7471,29.5638,0.078,0.0457,-38.3337
2009-01-01_2011-01-01,CDP,-5.9148,19.1854,-0.3762,-0.2499,-32.2555
2010-01-01_2012-01-01,CDP,-10.826,14.2151,-0.9431,-0.6474,-35.2544
2011-01-01_2013-01-01,CDP,-2.6326,13.4727,-0.3505,-0.2392,-34.7748
2012-01-01_2014-01-01,CDP,-1.6465,9.0715,-0.4639,-0.3038,-24.7175
2013-01-01_2015-01-01,CDP,-9.0997,7.9625,-1.5297,-0.9329,-26.4182
2014-01-01_2016-01-01,CDP,-7.283,7.8521,-1.3006,-0.9053,-23.5745
2015-01-01_2017-01-01,CDP,-5.022,8.5194,-0.9096,-0.6584,-21.5147
2016-01-01_2018-01-01,CDP,0.7545,7.5852,-0.2533,-0.1789,-15.9485
2017-01-01_2019-01-01,CDP,-2.9276,8.2278,-0.6797,-0.4527,-19.0057
2018-01-01_2020-01-01,CDP,4.1755,8.9905,0.1705,0.1266,-11.2014
2019-01-01_2021-01-01,CDP,6.5846,13.9197,0.3158,0.1803,-23.6493
2020-01-01_2022-01-01,CDP,1.3062,14.4749,-0.0417,-0.0263,-20.26
2021-01-01_2023-01-01,CDP,-3.2391,11.3004,-0.4967,-0.3564,-18.6801
2022-01-01_2024-01-01,CDP,8.6055,11.4312,0.5203,0.3867,-18.6807
Average,CDP,0.5886,12.7007,-0.2023,-0.1321,-22.2687
2004-01-01_2006-01-01,CW,5.2904,12.7287,0.2365,0.1405,-14.803
2005-01-01_2007-01-01,CW,7.5919,12.5718,0.4097,0.264,-12.51
2006-01-01_2008-01-01,CW,3.4145,12.6281,0.0943,0.0669,-9.3152
2007-01-01_2009-01-01,CW,9.7814,19.6314,0.4227,0.2832,-26.1761
2008-01-01_2010-01-01,CW,-0.2012,21.6583,-0.0368,-0.0249,-24.5464
2009-01-01_2011-01-01,CW,-7.8179,16.4947,-0.5893,-0.3676,-28.7403
2010-01-01_2012-01-01,CW,6.5844,14.8581,0.3039,0.2276,-15.2717
2011-01-01_2013-01-01,CW,7.763,14.045,0.3914,0.2893,-17.0922
2012-01-01_2014-01-01,CW,-0.7873,10.8225,-0.2929,-0.2296,-17.0919
2013-01-01_2015-01-01,CW,2.2554,10.15,-0.0217,-0.0218,-9.8752
2014-01-01_2016-01-01,CW,5.107,9.5405,0.2592,0.2025,-9.787
2015-01-01_2017-01-01,CW,3.5922,9.5719,0.1071,0.0809,-9.7872
2016-01-01_2018-01-01,CW,4.6695,8.2372,0.2358,0.1679,-10.4895
2017-01-01_2019-01-01,CW,-3.5282,9.3132,-0.6566,-0.3951,-20.5283
2018-01-01_2020-01-01,CW,-5.7595,10.543,-0.7905,-0.5178,-20.5808
