Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MED,-16.0265,27.5065,-0.6007,-0.3725,-56.2483
2005-01-01_2007-01-01,MED,28.5166,23.6322,1.0507,0.8016,-11.783
2006-01-01_2008-01-01,MED,5.1657,13.1754,0.222,0.1034,-12.9693
2007-01-01_2009-01-01,MED,12.4502,20.2642,0.53,0.2405,-11.5018
2008-01-01_2010-01-01,MED,11.8391,23.4551,0.4648,0.2122,-16.837
2009-01-01_2011-01-01,MED,23.6689,16.0419,1.2182,0.4493,-9.1489
2010-01-01_2012-01-01,MED,12.7566,30.8048,0.4471,0.3892,-26.5824
2011-01-01_2013-01-01,MED,24.8489,22.975,0.944,0.9921,-8.0661
2012-01-01_2014-01-01,MED,8.3967,10.9582,0.5203,0.3096,-11.9889
2013-01-01_2015-01-01,MED,5.9136,7.0661,0.4293,0.25,-8.7449
2014-01-01_2016-01-01,MED,0.4344,10.207,-0.1952,-0.0718,-19.963
2015-01-01_2017-01-01,MED,7.159,8.3733,0.5139,0.232,-7.2493
2016-01-01_2018-01-01,MED,6.6712,8.1645,0.4689,0.1932,-10.7394
2017-01-01_2019-01-01,MED,-0.3647,1.7683,-1.8718,-0.3785,-2.5017
2018-01-01_2020-01-01,MED,1.5582,2.6099,-0.5288,-0.1548,-2.5459
2019-01-01_2021-01-01,MED,-3.8359,31.8734,-0.0366,-0.0168,-49.5489
2020-01-01_2022-01-01,MED,19.0015,22.0365,0.7628,0.5415,-17.8927
2021-01-01_2023-01-01,MED,2.7767,11.8074,0.0402,0.0163,-17.7948
2022-01-01_2024-01-01,MED,-9.6643,21.6785,-0.4966,-0.3545,-40.7998
Average,MED,7.4351,16.5473,0.2043,0.178,-18.0477
2004-01-01_2006-01-01,TAIT,1.8644,15.435,0.0042,0.0004,-13.668
2005-01-01_2007-01-01,TAIT,-14.0151,17.6431,-0.9331,-0.3322,-35.8704
2006-01-01_2008-01-01,TAIT,0.4342,12.4442,-0.1427,-0.0741,-16.4631
2007-01-01_2009-01-01,TAIT,-19.3745,59.9068,-0.1072,-0.067,-67.3563
2008-01-01_2010-01-01,TAIT,-7.3455,32.5476,-0.1625,-0.0818,-33.4483
2009-01-01_2011-01-01,TAIT,-4.4446,15.8758,-0.3941,-0.0751,-25.1045
2010-01-01_2012-01-01,TAIT,-0.1484,15.1642,-0.1321,-0.0438,-12.882
2011-01-01_2013-01-01,TAIT,-7.5819,4.5771,-2.3458,-0.6587,-20.3701
2012-01-01_2014-01-01,TAIT,-13.3202,7.0768,-2.4014,-0.7405,-33.8314
2013-01-01_2015-01-01,TAIT,0.0,0.0,0.0,0.0,-0.0
2014-01-01_2016-01-01,TAIT,-1.8527,11.7595,-0.3535,-0.0906,-10.777
2015-01-01_2017-01-01,TAIT,-4.8776,18.5819,-0.3383,-0.2074,-23.6381
2016-01-01_2018-01-01,TAIT,-1.1603,17.305,-0.1553,-0.0875,-21.0261
2017-01-01_2019-01-01,TAIT,-10.552,22.6244,-0.5099,-0.3992,-37.2302
2018-01-01_2020-01-01,TAIT,-2.1303,17.2085,-0.2114,-0.1102,-37.876
2019-01-01_2021-01-01,TAIT,1.0978,25.9324,0.0536,0.0434,-34.1416
2020-01-01_2022-01-01,TAIT,-12.7514,21.6533,-0.6599,-0.4239,-41.5448
2021-01-01_2023-01-01,TAIT,19.9191,32.625,0.6242,0.7144,-27.0809
2022-01-01_2024-01-01,TAIT,11.633,8.6706,0.9711,0.7498,-8.3114
Average,TAIT,-3.4003,18.7911,-0.3786,-0.0992,-26.3484
2006-01-01_2008-01-01,WF,-0.7127,23.0479,-0.0446,-0.048,-31.6509
2007-01-01_2009-01-01,WF,-11.3667,51.7273,-0.0334,-0.0257,-64.656
2008-01-01_2010-01-01,WF,-17.6835,70.6837,0.03,0.0284,-80.2153
2009-01-01_2011-01-01,WF,16.8558,27.9986,0.5867,0.4456,-22.5566
2010-01-01_2012-01-01,WF,-2.1788,19.6655,-0.1637,-0.1113,-27.9795
2011-01-01_2013-01-01,WF,-2.1917,11.6075,-0.3877,-0.1939,-21.0675
2012-01-01_2014-01-01,WF,2.2639,12.6206,0.0055,0.0019,-18.0111
2013-01-01_2015-01-01,WF,0.4177,13.5485,-0.1185,-0.0583,-15.532
2014-01-01_2016-01-01,WF,-8.1059,27.4434,-0.2692,-0.1895,-37.162
2015-01-01_2017-01-01,WF,6.186,24.9732,0.2449,0.2864,-30.0682
2016-01-01_2018-01-01,WF,2.7479,11.3227,0.0346,0.0214,-14.7778
2017-01-01_2019-01-01,WF,-9.133,16.5699,-0.6727,-0.5384,-34.0699
2018-01-01_2020-01-01,WF,6.8802,16.7647,0.3046,0.2206,-23.4877
2019-01-01_2021-01-01,WF,4.2704,27.3522,0.1811,0.1499,-44.8073
2020-01-01_2022-01-01,WF,4.6522,32.4675,0.2115,0.2316,-44.8888
