Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2011-01-01_2013-01-01,TSLA,8.7314,42.9775,0.4089,0.3557,34.5856
2012-01-01_2014-01-01,TSLA,79.6418,50.7783,1.4046,1.2713,37.6842
2013-01-01_2015-01-01,TSLA,88.9122,49.0071,1.5383,1.4844,37.6491
2014-01-01_2016-01-01,TSLA,17.6385,36.4342,0.6261,0.566,35.3106
2015-01-01_2017-01-01,TSLA,-0.1475,31.4587,0.1529,0.1258,48.284
2016-01-01_2018-01-01,TSLA,12.6398,30.1576,0.5461,0.4457,34.1829
2017-01-01_2019-01-01,TSLA,16.2358,39.8957,0.574,0.5235,34.7163
2018-01-01_2020-01-01,TSLA,10.4358,44.224,0.4435,0.3918,52.246
2019-01-01_2021-01-01,TSLA,131.8083,59.9073,1.705,1.4878,60.4181
2020-01-01_2022-01-01,TSLA,135.5967,61.7948,1.6965,1.5003,60.458
2021-01-01_2023-01-01,TSLA,-20.6074,50.4063,-0.2061,-0.1679,73.0171
2022-01-01_2024-01-01,TSLA,-14.8414,49.1385,-0.08,-0.0637,72.1054
Average,TSLA,38.837,45.515,0.7342,0.6601,48.3881
2004-01-01_2006-01-01,NFLX,-0.2836,54.857,0.2933,0.2313,76.4189
2005-01-01_2007-01-01,NFLX,30.7607,39.9107,0.8709,0.7911,41.3825
2006-01-01_2008-01-01,NFLX,1.4236,36.7582,0.2226,0.1922,48.433
2007-01-01_2009-01-01,NFLX,4.2997,47.7036,0.3293,0.2754,55.6479
2008-01-01_2010-01-01,NFLX,29.4807,48.2818,0.7781,0.6504,55.8795
2009-01-01_2011-01-01,NFLX,84.7161,42.7222,1.6459,1.6267,25.0801
2010-01-01_2012-01-01,NFLX,9.9665,51.2389,0.4521,0.3662,78.4094
2011-01-01_2013-01-01,NFLX,-20.6987,55.8831,-0.1224,-0.0989,81.92
2012-01-01_2014-01-01,NFLX,69.4313,54.6522,1.2243,1.313,57.9123
2013-01-01_2015-01-01,NFLX,57.4575,45.8016,1.2034,1.3757,34.6696
2014-01-01_2016-01-01,NFLX,32.5872,37.7833,0.9326,0.9042,33.8419
2015-01-01_2017-01-01,NFLX,37.2601,39.4163,0.9964,0.9882,36.5669
2016-01-01_2018-01-01,NFLX,22.7681,30.4868,0.824,0.7362,29.0402
2017-01-01_2019-01-01,NFLX,29.3039,31.782,0.9669,0.847,44.1715
2018-01-01_2020-01-01,NFLX,16.4766,33.5548,0.6222,0.5271,43.8811
2019-01-01_2021-01-01,NFLX,24.1502,32.3096,0.8313,0.713,32.5478
2020-01-01_2022-01-01,NFLX,23.3538,32.8368,0.8021,0.7017,22.7452
2021-01-01_2023-01-01,NFLX,-17.8964,44.9786,-0.1978,-0.1537,75.7278
2022-01-01_2024-01-01,NFLX,-4.2984,44.5786,0.1381,0.1096,68.2837
Average,NFLX,22.6452,42.3966,0.6744,0.6366,49.6084
2004-01-01_2006-01-01,AMZN,-4.0849,32.2956,0.0343,0.0276,44.4011
2005-01-01_2007-01-01,AMZN,-2.642,29.758,0.0634,0.0499,45.6272
2006-01-01_2008-01-01,AMZN,25.9337,38.5605,0.7857,0.7625,45.4545
2007-01-01_2009-01-01,AMZN,10.2186,49.3633,0.4364,0.4238,65.1838
2008-01-01_2010-01-01,AMZN,12.2835,49.4198,0.4755,0.4664,63.4448
2009-01-01_2011-01-01,AMZN,52.1312,35.1507,1.3634,1.4751,27.0933
2010-01-01_2012-01-01,AMZN,9.4105,29.615,0.4522,0.3749,29.7793
2011-01-01_2013-01-01,AMZN,11.2354,29.1228,0.5103,0.4484,29.726
2012-01-01_2014-01-01,AMZN,32.4899,24.2633,1.2792,1.2545,15.6042
2013-01-01_2015-01-01,AMZN,6.6927,24.7303,0.387,0.2999,29.4732
2014-01-01_2016-01-01,AMZN,20.3066,27.4404,0.8101,0.7123,29.4586
2015-01-01_2017-01-01,AMZN,36.0693,26.3408,1.2987,1.2841,30.4671
2016-01-01_2018-01-01,AMZN,24.1541,20.8219,1.1422,1.0073,23.6848
2017-01-01_2019-01-01,AMZN,25.0022,24.2163,1.0421,0.8502,33.8759
2018-01-01_2020-01-01,AMZN,16.4922,25.0651,0.7345,0.5796,34.0809
2019-01-01_2021-01-01,AMZN,29.8307,26.1016,1.1306,0.973,22.5418
2020-01-01_2022-01-01,AMZN,21.911,26.3709,0.883,0.7525,22.3864
2021-01-01_2023-01-01,AMZN,-19.5869,32.4005,-0.5105,-0.4183,55.7911
2022-01-01_2024-01-01,AMZN,-3.9107,35.2844,0.0631,0.0529,51.933
Average,AMZN,15.9967,30.859,0.6516,0.5988,36.8425
2004-01-01_2006-01-01,MSFT,1.7007,13.0305,0.1942,0.1784,16.1066
2005-01-01_2007-01-01,MSFT,4.7258,14.8402,0.3862,0.3177,23.0542
2006-01-01_2008-01-01,MSFT,11.4195,18.0275,0.6903,0.5733,22.9721
2007-01-01_2009-01-01,MSFT,-12.6184,31.4062,-0.2746,-0.2435,51.4442
2008-01-01_2010-01-01,MSFT,-3.5064,36.0142,0.0793,0.0685,56.0709
2009-01-01_2011-01-01,MSFT,14.3509,24.4821,0.6703,0.5479,25.7272
2010-01-01_2012-01-01,MSFT,-4.269,18.8233,-0.1377,-0.1121,26.2808
2011-01-01_2013-01-01,MSFT,0.3067,18.3545,0.1082,0.0954,17.9742
2012-01-01_2014-01-01,MSFT,13.6376,18.9302,0.7704,0.6681,17.9826
2013-01-01_2015-01-01,MSFT,23.5653,18.2611,1.251,1.0423,13.492
2014-01-01_2016-01-01,MSFT,17.3509,19.9583,0.9009,0.8149,18.0276
2015-01-01_2017-01-01,MSFT,12.4768,21.2328,0.6594,0.5789,16.5607
2016-01-01_2018-01-01,MSFT,18.893,15.7199,1.1796,1.0033,13.4494
2017-01-01_2019-01-01,MSFT,19.9293,18.7164,1.0645,0.8716,18.2098
2018-01-01_2020-01-01,MSFT,23.7715,20.1747,1.1582,0.9251,18.1421
2019-01-01_2021-01-01,MSFT,32.6729,28.1328,1.1462,0.9108,27.89
2020-01-01_2022-01-01,MSFT,30.2292,28.2413,1.077,0.8911,27.6804
2021-01-01_2023-01-01,MSFT,4.1203,24.1605,0.2878,0.2434,37.089
2022-01-01_2024-01-01,MSFT,4.7638,25.4307,0.3098,0.263,35.5035
Average,MSFT,11.2379,21.7862,0.6064,0.5073,25.4556
2022-01-01_2024-01-01,COIN,-11.4184,79.2406,0.2414,0.217,85.8628
Average,COIN,-11.4184,79.2406,0.2414,0.217,85.8628
