Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,max_drawdown
2009-01-01_2011-01-01,TSLA,0.7813,0.7063,1.1054,0.3579
2010-01-01_2012-01-01,TSLA,-0.2066,0.6092,-0.2954,1.1674
2011-01-01_2013-01-01,TSLA,-0.3753,0.5335,-2.4897,1.2562
2012-01-01_2014-01-01,TSLA,0.5247,1.3466,0.6496,1.6646
2013-01-01_2015-01-01,TSLA,0.975,2.027,4.3067,2.9124
2014-01-01_2016-01-01,TSLA,-0.084,0.3201,-2.5292,0.473
2015-01-01_2017-01-01,TSLA,0.1826,0.3496,0.623,0.4139
2016-01-01_2018-01-01,TSLA,0.3705,0.5035,3.054,0.6707
2017-01-01_2019-01-01,TSLA,-0.0575,0.5066,-0.5154,0.6674
2018-01-01_2020-01-01,TSLA,0.1009,0.3974,0.5403,0.4103
2019-01-01_2021-01-01,TSLA,1.5018,2.4291,1.2771,4.7416
2020-01-01_2022-01-01,TSLA,1.2485,2.3912,5.4985,3.0945
2021-01-01_2023-01-01,TSLA,0.249,0.4439,1.8844,0.4428
2022-01-01_2024-01-01,TSLA,0.4333,0.3678,7.5472,0.2795
Average,TSLA,0.4032,0.9237,1.4755,1.3251
2004-01-01_2006-01-01,NFLX,0.2433,0.3615,1.2461,0.2873
2005-01-01_2007-01-01,NFLX,0.121,0.8083,1.2172,1.2596
2006-01-01_2008-01-01,NFLX,0.0413,0.2991,0.5231,0.6146
2007-01-01_2009-01-01,NFLX,-0.0278,0.5836,-0.2126,1.0481
2008-01-01_2010-01-01,NFLX,-0.0093,0.7218,-0.4166,1.218
2009-01-01_2011-01-01,NFLX,-0.521,1.1854,-0.9345,2.8322
2010-01-01_2012-01-01,NFLX,0.2588,1.2823,0.3267,2.9943
2011-01-01_2013-01-01,NFLX,0.4633,0.4164,20.0311,0.4379
2012-01-01_2014-01-01,NFLX,0.1402,0.6254,0.3655,1.2784
2013-01-01_2015-01-01,NFLX,-0.0037,0.648,-0.0044,0.8056
2014-01-01_2016-01-01,NFLX,0.2669,0.5717,17.3321,1.0252
