Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2011-01-01_2013-01-01,TSLA,1.6132,13.553,-0.1202,-0.0214,-11.1239
2012-01-01_2014-01-01,TSLA,55.1422,35.3722,1.0378,1.1828,-25.4641
2013-01-01_2015-01-01,TSLA,7.4237,17.1938,0.1925,0.1764,-10.8413
2014-01-01_2016-01-01,TSLA,-1.0917,6.4328,-0.6807,-0.1576,-8.667
2016-01-01_2018-01-01,TSLA,4.1316,13.6631,0.0271,0.0848,-13.8353
2017-01-01_2019-01-01,TSLA,-7.4576,8.5667,-1.124,-0.4887,-13.8859
2018-01-01_2020-01-01,TSLA,14.4926,11.1528,0.6982,0.4331,-6.5031
2019-01-01_2021-01-01,TSLA,113.0842,40.0067,1.5955,1.7454,-31.6648
2020-01-01_2022-01-01,TSLA,38.9874,24.3599,1.0413,0.7584,-17.3047
2021-01-01_2023-01-01,TSLA,7.4545,15.2543,0.2023,0.0855,-17.2874
2022-01-01_2024-01-01,TSLA,-3.6073,10.8715,-0.565,-0.1306,-15.0929
Average,TSLA,20.9248,17.857,0.2095,0.3335,-15.6064
2004-01-01_2006-01-01,NFLX,4.3467,17.5744,0.0588,0.1001,-16.1888
2005-01-01_2007-01-01,NFLX,-6.9678,14.2018,-0.6109,-0.2753,-20.0425
2006-01-01_2008-01-01,NFLX,-3.8762,7.6661,-0.8631,-0.2073,-13.2388
2007-01-01_2009-01-01,NFLX,-7.3455,23.013,-0.3264,-0.1232,-24.7784
2008-01-01_2010-01-01,NFLX,13.7427,17.7282,0.4527,0.5069,-14.726
2009-01-01_2011-01-01,NFLX,26.6439,27.0737,0.6783,1.0946,-24.9097
2010-01-01_2012-01-01,NFLX,-2.8986,17.0965,-0.2841,-0.164,-18.964
2012-01-01_2014-01-01,NFLX,45.2218,37.1175,0.8448,1.6519,-14.0384
2013-01-01_2015-01-01,NFLX,-3.6006,15.1753,-0.3751,-0.2407,-14.853
2014-01-01_2016-01-01,NFLX,-4.7957,17.9853,-0.355,-0.2848,-27.4141
2015-01-01_2017-01-01,NFLX,-6.5919,7.8394,-1.1384,-0.4275,-12.9456
2016-01-01_2018-01-01,NFLX,2.8404,11.8369,-0.0702,0.0317,-12.9152
2017-01-01_2019-01-01,NFLX,15.341,15.7252,0.5646,0.5828,-14.7028
2018-01-01_2020-01-01,NFLX,-2.6759,3.6396,-1.5932,-0.6229,-5.9273
2019-01-01_2021-01-01,NFLX,-8.3655,13.8855,-0.7168,-0.4349,-19.0807
2020-01-01_2022-01-01,NFLX,-2.5657,9.6976,-0.5548,-0.2389,-9.5865
2021-01-01_2023-01-01,NFLX,2.2188,7.5521,-0.2196,-0.0361,-8.5735
2022-01-01_2024-01-01,NFLX,5.4673,14.2616,0.1025,0.1468,-14.4932
Average,NFLX,3.6744,15.5039,-0.2448,0.0588,-15.9655
2004-01-01_2006-01-01,AMZN,-9.0001,10.9933,-0.9792,-0.2866,-18.4686
2005-01-01_2007-01-01,AMZN,-5.3501,11.4948,-0.6559,-0.1839,-15.0523
2006-01-01_2008-01-01,AMZN,32.0845,28.4081,0.7673,1.4824,-10.7168
2007-01-01_2009-01-01,AMZN,0.3733,5.4491,-0.5936,-0.107,-8.9938
2008-01-01_2010-01-01,AMZN,16.7303,22.0064,0.483,0.6635,-8.4077
2009-01-01_2011-01-01,AMZN,22.3151,23.6415,0.6218,1.2014,-10.0456
2010-01-01_2012-01-01,AMZN,-5.4756,16.87,-0.4182,-0.287,-23.7119
2011-01-01_2013-01-01,AMZN,-4.6707,11.6352,-0.5991,-0.2391,-21.599
2012-01-01_2014-01-01,AMZN,10.2218,13.55,0.3653,0.5325,-7.8946
2013-01-01_2015-01-01,AMZN,6.3379,10.427,0.1677,0.2949,-5.9222
2014-01-01_2016-01-01,AMZN,13.5567,16.6999,0.4622,0.7416,-10.4821
2015-01-01_2017-01-01,AMZN,6.2702,11.4431,0.1569,0.2369,-11.7644
2016-01-01_2018-01-01,AMZN,11.1592,9.1299,0.5726,0.7003,-6.3274
2017-01-01_2019-01-01,AMZN,25.3638,12.6632,1.2049,1.2589,-7.3502
2018-01-01_2020-01-01,AMZN,-0.1387,1.7157,-2.1908,-1.5847,-2.6654
2019-01-01_2021-01-01,AMZN,12.5384,14.0325,0.478,0.4351,-8.915
2020-01-01_2022-01-01,AMZN,2.1746,4.6712,-0.3911,-0.0774,-4.017
2022-01-01_2024-01-01,AMZN,1.4123,9.6752,-0.2222,-0.0763,-12.6989
Average,AMZN,7.5502,13.0281,-0.0428,0.2614,-10.8352
2004-01-01_2006-01-01,MSFT,-0.925,3.8294,-1.1363,-0.4864,-5.7843
2005-01-01_2007-01-01,MSFT,0.9307,3.5939,-0.796,-0.4068,-4.2483
2006-01-01_2008-01-01,MSFT,-6.7986,7.6553,-1.1909,-0.9127,-19.1357
2007-01-01_2009-01-01,MSFT,-2.6728,4.7742,-1.2062,-0.4814,-7.6122
2008-01-01_2010-01-01,MSFT,4.8541,9.8444,0.0589,0.0958,-12.2791
2009-01-01_2011-01-01,MSFT,3.7478,8.0257,-0.0524,0.0867,-5.9731
2010-01-01_2012-01-01,MSFT,-2.0348,3.5039,-1.505,-0.2304,-4.6276
2011-01-01_2013-01-01,MSFT,7.9794,6.2156,0.4359,0.8572,-2.5685
2012-01-01_2014-01-01,MSFT,-0.6627,10.633,-0.35,-0.1054,-13.8183
2013-01-01_2015-01-01,MSFT,2.0698,8.302,-0.2073,-0.0637,-7.5367
2014-01-01_2016-01-01,MSFT,-2.5941,7.031,-0.7945,-0.489,-8.8809
2015-01-01_2017-01-01,MSFT,-7.0798,9.0609,-1.0223,-0.6233,-18.3146
2016-01-01_2018-01-01,MSFT,4.017,9.5699,-0.0114,0.1528,-6.7167
2017-01-01_2019-01-01,MSFT,2.5016,10.5529,-0.1148,0.002,-11.3966
2018-01-01_2020-01-01,MSFT,8.9983,7.8719,0.4532,0.5303,-10.047
2019-01-01_2021-01-01,MSFT,7.5651,11.8598,0.238,0.2789,-9.2537
2020-01-01_2022-01-01,MSFT,8.511,8.8725,0.3692,0.4926,-5.6169
2021-01-01_2023-01-01,MSFT,2.8877,4.9048,-0.2575,-0.003,-3.7477
