Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2011-01-01_2013-01-01,TSLA,6.3031,21.3522,0.2514,0.2149,-31.0117
2012-01-01_2014-01-01,TSLA,8.7826,25.1067,0.3403,0.2552,-31.0135
2013-01-01_2015-01-01,TSLA,17.582,24.0317,0.6681,0.5101,-16.3301
2014-01-01_2016-01-01,TSLA,9.8243,16.9234,0.4625,0.3708,-18.2799
2015-01-01_2017-01-01,TSLA,-8.2453,17.5155,-0.5728,-0.4114,-35.8799
2016-01-01_2018-01-01,TSLA,-11.1846,16.3857,-0.8221,-0.5504,-31.1299
2017-01-01_2019-01-01,TSLA,-0.2779,23.0254,-0.0279,-0.0217,-32.5599
2018-01-01_2020-01-01,TSLA,1.6365,24.5978,0.0668,0.046,-23.7561
2019-01-01_2021-01-01,TSLA,22.2695,31.9844,0.6949,0.4652,-32.8632
2020-01-01_2022-01-01,TSLA,24.9519,32.4427,0.756,0.5391,-32.8659
2021-01-01_2023-01-01,TSLA,4.9098,24.2447,0.1953,0.1492,-27.5025
2022-01-01_2024-01-01,TSLA,17.2149,24.798,0.6451,0.4504,-27.8742
Average,TSLA,7.8139,23.534,0.2215,0.1681,-28.4222
2004-01-01_2006-01-01,NFLX,9.3285,22.4267,0.3761,0.293,-31.1483
2005-01-01_2007-01-01,NFLX,0.5373,14.9194,-0.0884,-0.0678,-31.4687
2006-01-01_2008-01-01,NFLX,-10.0646,13.9932,-0.8994,-0.6486,-33.0504
2007-01-01_2009-01-01,NFLX,11.9639,21.5687,0.4921,0.4656,-20.5035
2008-01-01_2010-01-01,NFLX,21.9152,22.1337,0.8698,0.8335,-16.9443
2009-01-01_2011-01-01,NFLX,0.6873,17.6851,-0.0409,-0.036,-26.202
2010-01-01_2012-01-01,NFLX,5.3894,20.1637,0.2139,0.1585,-24.3833
2011-01-01_2013-01-01,NFLX,10.2487,25.1426,0.393,0.3268,-32.9671
2012-01-01_2014-01-01,NFLX,5.1388,22.6475,0.201,0.1666,-32.9702
2013-01-01_2015-01-01,NFLX,9.2733,15.0293,0.4679,0.329,-21.562
2014-01-01_2016-01-01,NFLX,10.873,14.8256,0.5702,0.4277,-21.1908
2015-01-01_2017-01-01,NFLX,6.5139,14.5303,0.3027,0.2421,-21.1947
2016-01-01_2018-01-01,NFLX,7.1722,11.492,0.4022,0.3219,-7.8361
2017-01-01_2019-01-01,NFLX,2.6129,14.6673,0.0475,0.0275,-18.0303
2018-01-01_2020-01-01,NFLX,3.9689,14.9928,0.1371,0.0912,-18.0108
2019-01-01_2021-01-01,NFLX,15.9691,14.3655,0.8969,0.6974,-9.6261
2020-01-01_2022-01-01,NFLX,12.2105,14.5324,0.6616,0.4767,-10.8504
2021-01-01_2023-01-01,NFLX,0.3218,18.1595,-0.0562,-0.051,-22.3092
2022-01-01_2024-01-01,NFLX,13.4674,18.1691,0.6216,0.5562,-20.5327
Average,NFLX,7.2383,17.4444,0.2931,0.2426,-22.1464
2004-01-01_2006-01-01,AMZN,-3.318,15.7474,-0.3211,-0.1754,-27.6616
2005-01-01_2007-01-01,AMZN,-6.8063,15.166,-0.5813,-0.316,-26.2082
2006-01-01_2008-01-01,AMZN,-6.8638,14.3872,-0.6273,-0.4168,-33.4211
2007-01-01_2009-01-01,AMZN,-2.3509,21.7687,-0.1376,-0.106,-25.9204
2008-01-01_2010-01-01,AMZN,4.2089,24.1952,0.1658,0.1416,-23.9637
2009-01-01_2011-01-01,AMZN,6.3053,17.8052,0.2634,0.227,-27.5744
2010-01-01_2012-01-01,AMZN,5.997,15.3475,0.2631,0.1848,-20.3306
2011-01-01_2013-01-01,AMZN,9.0305,14.3377,0.4679,0.3474,-16.0413
2012-01-01_2014-01-01,AMZN,2.4622,11.9677,0.0159,0.0083,-13.9408
2013-01-01_2015-01-01,AMZN,-4.2998,12.5358,-0.5229,-0.2881,-15.4629
2014-01-01_2016-01-01,AMZN,0.4475,14.3821,-0.1035,-0.0686,-17.8051
2015-01-01_2017-01-01,AMZN,3.9454,14.9603,0.1338,0.1023,-24.3356
2016-01-01_2018-01-01,AMZN,3.0854,11.7199,0.0649,0.0407,-18.0132
2017-01-01_2019-01-01,AMZN,3.2491,12.3076,0.081,0.0449,-11.6063
2018-01-01_2020-01-01,AMZN,1.124,13.188,-0.0735,-0.0448,-12.3031
2019-01-01_2021-01-01,AMZN,6.527,14.2738,0.3069,0.1952,-12.3
2020-01-01_2022-01-01,AMZN,0.0872,14.6813,-0.1221,-0.0802,-18.5015
2021-01-01_2023-01-01,AMZN,-5.7947,19.2246,-0.3678,-0.2349,-26.0087
2022-01-01_2024-01-01,AMZN,11.0622,20.8026,0.4662,0.2914,-17.5618
Average,AMZN,1.4789,15.7262,-0.033,-0.0077,-20.4716
2004-01-01_2006-01-01,MSFT,1.5023,6.4265,-0.1966,-0.1569,-9.1707
2005-01-01_2007-01-01,MSFT,-0.8706,9.3155,-0.3635,-0.1831,-18.015
2006-01-01_2008-01-01,MSFT,-4.6344,10.3177,-0.6937,-0.3602,-23.7951
2007-01-01_2009-01-01,MSFT,-7.5175,14.8585,-0.6503,-0.4265,-24.464
2008-01-01_2010-01-01,MSFT,-3.4837,16.2115,-0.32,-0.2191,-22.0564
2009-01-01_2011-01-01,MSFT,-1.7019,11.2018,-0.3617,-0.2663,-21.9754
2010-01-01_2012-01-01,MSFT,-2.9097,9.8347,-0.5521,-0.3938,-18.6032
2011-01-01_2013-01-01,MSFT,1.6716,9.0673,-0.0985,-0.0819,-10.4372
2012-01-01_2014-01-01,MSFT,2.0857,7.7742,-0.0764,-0.0615,-10.4375
2013-01-01_2015-01-01,MSFT,1.8788,7.6226,-0.106,-0.0806,-9.8929
2014-01-01_2016-01-01,MSFT,1.0149,8.4925,-0.1872,-0.1348,-12.0174
2015-01-01_2017-01-01,MSFT,-0.3926,9.2502,-0.3165,-0.2313,-8.5756
2016-01-01_2018-01-01,MSFT,-0.5582,7.7117,-0.4181,-0.3017,-9.6604
2017-01-01_2019-01-01,MSFT,-2.2043,8.698,-0.5529,-0.3318,-11.4373
2018-01-01_2020-01-01,MSFT,-4.2061,10.0915,-0.6685,-0.4385,-13.689
2019-01-01_2021-01-01,MSFT,6.9533,13.5447,0.3453,0.2358,-7.5875
2020-01-01_2022-01-01,MSFT,6.8302,13.8894,0.3318,0.2325,-7.9176
2021-01-01_2023-01-01,MSFT,-2.8278,12.1045,-0.4212,-0.3324,-18.9035
2022-01-01_2024-01-01,MSFT,5.9453,11.9122,0.2957,0.2215,-13.2546
Average,MSFT,-0.1802,10.4382,-0.2637,-0.1742,-14.31
2022-01-01_2024-01-01,COIN,39.2911,45.5961,0.88,0.7758,-35.1042
Average,COIN,39.2911,45.5961,0.88,0.7758,-35.1042
Average,All,4.21798,16.52246,0.04954,0.05637,-20.82575
