Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,max_drawdown
2009-01-01_2011-01-01,TSLA,0.9885,0.7088,1.3912,0.2276
2010-01-01_2012-01-01,TSLA,0.0903,0.6241,0.1751,0.6985
2011-01-01_2013-01-01,TSLA,0.0144,0.6118,0.0635,0.7493
2012-01-01_2014-01-01,TSLA,0.656,1.2952,1.0509,1.3416
2013-01-01_2015-01-01,TSLA,0.7784,1.9979,2.3089,2.8428
2014-01-01_2016-01-01,TSLA,-0.0585,0.4612,-0.3231,0.7158
2015-01-01_2017-01-01,TSLA,0.1367,0.3565,0.3215,0.6048
2016-01-01_2018-01-01,TSLA,0.5917,0.4863,17.8978,0.5221
2017-01-01_2019-01-01,TSLA,0.1409,0.5049,0.8518,0.6328
2018-01-01_2020-01-01,TSLA,0.1161,0.4019,1.176,0.5644
2019-01-01_2021-01-01,TSLA,1.4574,2.3932,1.3557,5.3082
2020-01-01_2022-01-01,TSLA,1.0723,2.0338,3.166,2.489
2021-01-01_2023-01-01,TSLA,0.3916,0.4428,1.5434,0.4101
2022-01-01_2024-01-01,TSLA,0.5038,0.3647,119.1238,0.2739
Average,TSLA,0.4914,0.9059,10.7216,1.2415
2004-01-01_2006-01-01,NFLX,0.1455,0.3688,1.3427,0.4581
2005-01-01_2007-01-01,NFLX,0.0746,0.8193,0.832,1.0642
2006-01-01_2008-01-01,NFLX,0.0081,0.3159,0.1785,0.7934
2007-01-01_2009-01-01,NFLX,0.0164,0.5834,0.1242,1.2414
2008-01-01_2010-01-01,NFLX,0.1871,0.7122,1.3985,1.2411
2009-01-01_2011-01-01,NFLX,-0.7264,1.225,-0.6763,3.794
2010-01-01_2012-01-01,NFLX,-0.1127,1.2547,-0.1338,2.9068
2011-01-01_2013-01-01,NFLX,0.2769,0.3459,3.5107,0.422
2012-01-01_2014-01-01,NFLX,-0.0803,0.8592,-0.1547,1.75
2013-01-01_2015-01-01,NFLX,0.6152,1.1804,0.6816,1.5679
2014-01-01_2016-01-01,NFLX,0.2793,0.5702,1.7557,1.3649
2015-01-01_2017-01-01,NFLX,-0.085,0.5876,-4.4959,1.3006
2016-01-01_2018-01-01,NFLX,-0.0624,0.4237,-1.6778,0.6223
2017-01-01_2019-01-01,NFLX,0.5424,0.6942,0.9274,0.6718
2018-01-01_2020-01-01,NFLX,0.3348,0.3452,10.8771,0.291
2019-01-01_2021-01-01,NFLX,0.0531,0.4115,0.4332,0.5159
2020-01-01_2022-01-01,NFLX,-0.0928,0.4948,-1.1686,1.0463
2021-01-01_2023-01-01,NFLX,0.1355,0.1683,1.5908,0.1697
2022-01-01_2024-01-01,NFLX,0.2985,0.2882,3.0185,0.1745
Average,NFLX,0.121,0.6608,1.5308,1.1914
2004-01-01_2006-01-01,AMZN,0.1137,0.2778,1.0,0.5389
2005-01-01_2007-01-01,AMZN,0.0588,0.2781,1.2755,0.3635
2006-01-01_2008-01-01,AMZN,0.3077,0.4897,0.9688,0.5265
2007-01-01_2009-01-01,AMZN,0.7408,0.8899,13.2037,0.63
2008-01-01_2010-01-01,AMZN,0.0005,0.5001,0.0042,0.5884
2009-01-01_2011-01-01,AMZN,-0.0366,0.7293,-0.4569,0.824
2010-01-01_2012-01-01,AMZN,0.2978,0.4585,0.8928,0.3863
2011-01-01_2013-01-01,AMZN,0.2239,0.3495,1.1133,0.2927
2012-01-01_2014-01-01,AMZN,0.0633,0.3743,15.0243,0.4701
2013-01-01_2015-01-01,AMZN,0.0734,0.3252,1.4105,0.3791
2014-01-01_2016-01-01,AMZN,0.1813,0.3005,2.7099,0.2726
2015-01-01_2017-01-01,AMZN,0.2023,0.4962,1.4317,0.4467
2016-01-01_2018-01-01,AMZN,0.1206,0.3048,2.0056,0.3021
2017-01-01_2019-01-01,AMZN,0.3035,0.4558,2.0599,0.5136
2018-01-01_2020-01-01,AMZN,0.3111,0.294,2.3813,0.3017
2019-01-01_2021-01-01,AMZN,0.1277,0.4001,0.666,0.7293
2020-01-01_2022-01-01,AMZN,-0.0155,0.4127,-0.3673,0.9874
2021-01-01_2023-01-01,AMZN,0.1587,0.2828,2.1447,0.2028
2022-01-01_2024-01-01,AMZN,0.2138,0.272,6.9459,0.2032
Average,AMZN,0.1878,0.4501,2.9445,0.5342
2004-01-01_2006-01-01,MSFT,0.0801,0.1487,0.6728,0.2263
2005-01-01_2007-01-01,MSFT,0.0825,0.1543,0.807,0.22
2006-01-01_2008-01-01,MSFT,0.0166,0.1972,1.6293,0.2248
2007-01-01_2009-01-01,MSFT,-0.135,0.2767,-0.8153,0.7869
2008-01-01_2010-01-01,MSFT,-0.1542,0.3058,-0.3939,0.8595
2009-01-01_2011-01-01,MSFT,0.3013,0.304,5.2281,0.1545
2010-01-01_2012-01-01,MSFT,0.1677,0.1815,3.5553,0.1443
2011-01-01_2013-01-01,MSFT,0.1582,0.1916,22.9186,0.2117
2012-01-01_2014-01-01,MSFT,-0.0842,0.1978,-1.0609,0.5354
