Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2013-01-01_2015-01-01,TSLA,0.6123,1.2828,-1.8254,,-0.3627
2014-01-01_2016-01-01,TSLA,6.8877,5.6747,0.68,0.2708,-2.3192
2015-01-01_2017-01-01,TSLA,-0.0367,11.6295,-0.1999,-0.1157,-28.5578
2016-01-01_2018-01-01,TSLA,-6.485,10.3775,-0.8786,-0.3323,-23.5385
2017-01-01_2019-01-01,TSLA,-14.5723,33.1619,-0.3983,-0.4265,-56.1903
2018-01-01_2020-01-01,TSLA,-5.0436,15.2078,-0.4571,-0.1798,-29.1576
2019-01-01_2021-01-01,TSLA,7.7631,13.2326,0.4029,0.2853,-14.7624
2021-01-01_2023-01-01,TSLA,3.6143,13.1213,0.1105,0.041,-18.0284
2022-01-01_2024-01-01,TSLA,35.3772,27.5344,1.1304,0.8377,-20.1847
Average,TSLA,3.1241,14.5803,-0.1595,,-21.4557
2005-01-01_2007-01-01,NFLX,12.1285,12.5071,0.7394,0.5251,-7.0767
2006-01-01_2008-01-01,NFLX,-3.4784,14.116,-0.39,-0.2942,-16.2882
2007-01-01_2009-01-01,NFLX,-4.5085,16.2002,-0.3854,-0.1808,-31.1056
2008-01-01_2010-01-01,NFLX,3.8995,15.6683,0.1331,0.0563,-24.0949
2009-01-01_2011-01-01,NFLX,8.0592,7.4637,0.6779,0.3019,-5.0741
2011-01-01_2013-01-01,NFLX,-9.4843,13.9544,-0.8529,-0.2345,-31.6019
2012-01-01_2014-01-01,NFLX,-1.8332,22.9279,-0.0874,-0.0331,-30.7777
2013-01-01_2015-01-01,NFLX,0.4788,5.3659,-0.4354,-0.0778,-8.6477
2014-01-01_2016-01-01,NFLX,-0.8293,7.4435,-0.4723,-0.1642,-9.3708
2015-01-01_2017-01-01,NFLX,0.0811,4.9551,-0.556,-0.1159,-6.3066
2016-01-01_2018-01-01,NFLX,-2.7836,4.9628,-1.1396,-0.113,-10.2924
2019-01-01_2021-01-01,NFLX,1.4856,13.6101,-0.0403,-0.0221,-16.9436
2020-01-01_2022-01-01,NFLX,-1.9867,1.9813,-2.4968,-0.4729,-6.0746
2021-01-01_2023-01-01,NFLX,-0.6626,24.4845,-0.0203,-0.0112,-41.8396
2022-01-01_2024-01-01,NFLX,24.1116,24.1018,0.8913,1.02,-24.0939
Average,NFLX,1.6452,12.6495,-0.2956,0.0122,-17.9726
2004-01-01_2006-01-01,AMZN,-0.4056,6.7023,-0.4689,-0.1934,-9.5513
2005-01-01_2007-01-01,AMZN,-6.8986,14.9878,-0.5981,-0.3562,-32.0595
2006-01-01_2008-01-01,AMZN,-2.2511,10.4043,-0.4528,-0.2488,-16.9993
2007-01-01_2009-01-01,AMZN,17.9319,19.7352,0.7741,0.5106,-14.0103
2008-01-01_2010-01-01,AMZN,10.1653,23.4373,0.4013,0.2893,-23.0939
2009-01-01_2011-01-01,AMZN,5.3805,10.3215,0.2717,0.1166,-6.9732
2010-01-01_2012-01-01,AMZN,-0.2127,3.0044,-1.0411,-0.2158,-4.5206
2011-01-01_2013-01-01,AMZN,-0.8147,3.0028,-1.2432,-0.3995,-7.26
2012-01-01_2014-01-01,AMZN,-1.2647,4.6005,-0.8972,-0.3525,-7.7971
2013-01-01_2015-01-01,AMZN,0.9031,2.3683,-0.8585,-0.1302,-2.1952
2014-01-01_2016-01-01,AMZN,3.768,5.6022,0.1598,0.0978,-5.747
2015-01-01_2017-01-01,AMZN,2.5323,4.363,-0.0838,-0.0483,-3.1367
2016-01-01_2018-01-01,AMZN,7.2345,6.3081,0.6692,0.2965,-4.0931
2017-01-01_2019-01-01,AMZN,2.1397,1.7815,-0.4643,-0.1831,-1.1815
2019-01-01_2021-01-01,AMZN,3.1225,7.163,0.0516,0.0233,-12.43
2020-01-01_2022-01-01,AMZN,3.162,6.1783,0.0555,0.0103,-9.922
2021-01-01_2023-01-01,AMZN,9.2314,16.9949,0.4295,0.2348,-20.1431
2022-01-01_2024-01-01,AMZN,6.3897,17.6795,0.2705,0.1907,-17.796
Average,AMZN,3.3396,9.1464,-0.168,-0.0199,-11.0505
2004-01-01_2006-01-01,MSFT,0.8479,2.1176,-0.9886,-0.404,-1.868
